0,Q,0
1,Q,0
1,W,2
1,U,2
1,E,3
1,S,4
1,D,4
1,N,5
2,Q,0
2,E,1
2,S,5
3,Q,0
3,W,1
4,Q,0
4,N,1
4,E,5
4,W,5
4,U,5
4,S,7
4,D,7
5,Q,0
5,E,4
5,D,4
5,W,5
5,S,5
5,N,6
6,Q,0
6,N,1
6,E,4
6,W,4
6,D,4
6,S,5
7,Q,0
7,N,4
7,E,5
7,W,5
7,S,8
8,Q,0
8,E,5
8,W,5
8,S,5
8,N,7
9,Q,0
9,W,10
10,Q,0
10,E,9
10,W,11
11,Q,0
11,E,10
11,U,12
11,W,12
12,Q,0
12,D,11
12,E,11
12,U,13
12,W,13
13,Q,0
13,E,12
13,W,14
14,Q,0
14,E,13
14,D,15
14,W,16
15,Q,0
15,S,18
15,W,17
15,D,19
15,N,19
15,U,14
16,Q,0
16,E,14
17,Q,0
17,E,15
18,Q,0
18,N,15
19,Q,0
19,U,15
19,E,15
19,N,32
20,Q,0
21,Q,0
22,Q,0
23,Q,0
23,E,67
23,W,68
23,D,25
24,Q,0
24,U,67
25,Q,0
25,U,23
26,Q,0
27,Q,0
27,N,40
27,W,41
28,Q,0
28,S,19
28,N,33
28,D,36
29,Q,0
29,N,19
30,Q,0
30,E,19
30,W,62
30,U,62
31,Q,0
32,Q,0
33,Q,0
33,S,28
33,E,34
33,W,35
34,Q,0
34,D,33
34,U,15
35,Q,0
35,E,33
36,Q,0
36,E,37
36,U,28
36,W,39
37,Q,0
37,W,36
37,D,38
38,Q,0
38,U,37
39,Q,0
39,E,36
39,D,64
40,Q,0
41,Q,0
41,S,42
41,U,42
41,E,27
41,N,59
41,W,60
42,Q,0
42,U,41
42,N,42
42,E,43
42,S,45
42,W,80
43,Q,0
43,W,42
43,S,44
43,E,45
44,Q,0
44,E,43
44,D,48
44,S,50
44,N,82
45,Q,0
45,W,42
45,N,43
45,E,46
45,S,47
45,U,87
45,D,87
46,Q,0
46,W,45
47,Q,0
47,E,45
48,Q,0
48,U,44
49,Q,0
49,E,50
49,W,51
50,Q,0
50,E,44
50,W,49
50,D,51
50,S,52
51,Q,0
51,W,49
51,U,50
51,E,52
51,S,53
52,Q,0
52,W,50
52,E,51
52,S,52
52,U,53
52,N,55
52,D,86
53,Q,0
53,W,51
53,N,52
53,S,54
54,Q,0
54,W,53
55,Q,0
55,W,52
55,N,55
55,D,56
55,E,57
56,Q,0
56,U,55
57,Q,0
57,D,13
57,W,55
57,S,58
57,N,83
57,E,84
58,Q,0
58,E,57
59,Q,0
60,Q,0
60,E,41
60,U,41
60,W,61
60,N,62
60,D,62
61,Q,0
61,E,60
61,N,62
62,Q,0
62,W,60
62,N,63
62,E,30
62,S,61
63,Q,0
63,S,62
64,Q,0
64,U,39
64,W,65
64,N,103
64,E,106
65,Q,0
65,E,64
65,W,66
65,U,39
65,N,71
65,D,106
66,Q,0
66,NE,65
66,W,67
66,E,96
67,Q,0
67,E,66
67,W,23
67,D,24
68,Q,0
68,S,23
68,U,69
68,N,65
69,Q,0
69,D,68
69,S,119
69,N,109
70,Q,0
70,N,71
70,D,65
70,S,111
71,Q,0
71,SE,65
71,S,70
71,N,110
72,Q,0
72,SW,118
72,N,73
72,SE,97
73,Q,0
73,S,72
74,Q,0
74,E,19
74,W,121
74,D,75
75,Q,0
75,S,76
75,N,77
76,Q,0
76,N,75
77,Q,0
77,E,75
77,W,78
77,N,66
78,Q,0
78,S,77
79,Q,0
80,Q,0
80,N,42
80,W,80
80,S,80
80,E,81
81,Q,0
81,W,80
82,Q,0
82,S,44
83,Q,0
83,S,57
83,E,84
83,W,85
84,Q,0
84,N,57
84,W,83
84,NW,114
85,Q,0
85,E,83
86,Q,0
86,U,52
87,Q,0
87,U,45
87,D,45
88,Q,0
88,D,25
88,E,25
88,W,92
89,Q,0
90,Q,0
91,Q,0
91,N,95
91,D,72
92,Q,0
92,S,88
92,E,93
92,N,94
93,Q,0
93,S,92
94,Q,0
94,S,92
95,Q,0
95,S,94
95,W,91
96,Q,0
96,W,66
97,Q,0
97,SE,66
97,W,72
97,U,98
97,N,98
98,Q,0
98,S,97
98,W,99
99,Q,0
99,NW,98
99,E,100
100,Q,0
100,W,99
100,NE,101
101,Q,0
101,S,100
102,Q,0
102,D,103
103,Q,0
103,U,102
103,D,104
103,S,64
104,Q,0
104,U,103
104,D,105
105,Q,0
105,U,104
106,Q,0
106,U,64
106,W,65
106,E,108
107,Q,0
107,S,131
107,SW,132
107,NE,133
107,SE,134
107,U,135
107,NW,136
107,E,137
107,W,138
107,N,139
107,D,61
108,Q,0
108,E,106
109,Q,0
109,S,69
109,N,113
110,Q,0
110,W,71
111,Q,0
111,N,70
111,D,45
112,Q,0
112,SW,131
112,N,132
112,E,133
112,NW,134
112,SE,135
112,NE,136
112,W,137
112,D,138
112,U,139
112,S,140
113,Q,0
113,S,109
114,Q,0
114,SE,84
115,Q,0
115,SW,116
116,Q,0
116,NE,115
117,Q,0
117,SW,118
118,Q,0
118,D,72
118,U,117
119,Q,0
119,N,69
120,Q,0
120,N,69
120,E,74
121,Q,0
121,E,74
122,Q,0
122,NE,123
123,Q,0
123,W,122
123,E,124
124,Q,0
124,W,123
124,NE,125
124,SE,128
124,D,128
125,Q,0
125,S,124
125,N,126
125,E,127
126,Q,0
126,S,125
127,Q,0
127,W,125
128,Q,0
128,N,124
128,U,124
128,S,129
128,D,129
129,Q,0
129,W,128
129,U,128
129,E,130
130,Q,0
130,W,129
131,Q,0
131,W,107
131,SE,132
131,NW,133
131,SW,134
131,NE,135
131,U,136
131,D,137
131,N,138
131,S,139
131,E,112
132,Q,0
132,NW,107
132,U,131
132,N,133
132,S,134
132,W,135
132,SW,136
132,NE,137
132,E,138
132,D,139
132,SE,112
133,Q,0
133,U,107
133,D,131
133,W,132
133,NE,134
133,SW,135
133,E,136
133,N,137
133,NW,138
133,SE,139
133,S,112
134,Q,0
134,NE,107
134,N,131
134,NW,132
134,SE,133
134,E,135
134,D,136
134,S,137
134,U,138
134,W,139
134,SW,112
135,Q,0
135,N,107
135,SE,131
135,D,132
135,S,133
135,E,134
135,W,136
135,SW,137
135,NE,138
135,NW,139
135,U,112
136,Q,0
136,E,107
136,W,131
136,U,132
136,SW,133
136,D,134
136,S,135
136,NW,137
136,SE,138
136,NE,139
136,N,112
137,Q,0
137,SE,107
137,NE,131
